2016.08.30 updated,,,,,,,,,,,,,,,,,,,,,
NO,Variety,cross#,date of analysis,crude oil(%),Caprylic acid (C8:0),Capric acid (C10:0),Lauric acid (C12:0),Myristic acid (C14:0),Pentadecanoic acid (C15:0),Palmitic acid (C16:0),Palmitoliec aicd (C16:1),Heptadecanoic acid(C17:0),Stearic acid (C18:0),Oleic acid (C18:1n9c),vaccenic acid (C18:1n7c),Linoleic acid (C18:2n6c),Arachidic acid (C20:0),cis-11-Eicosenoic acid (C20:1),Linolenic acid (C18:3n3),Behenic acid (C22:0),Erucic acid (C22:1n9)
1,Da-Ae-505,107(505),2016.07.08,27.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.13 ,0.28 ,0.00 ,0.75 ,11.34 ,1.45 ,13.81 ,9.01 ,0.56 ,4.85 ,0.84 ,53.97 
2,Da-Ae-1,107-1,2016.07.06,38.71 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.54 ,0.32 ,0.00 ,0.82 ,11.31 ,1.71 ,14.85 ,0.62 ,5.57 ,2.80 ,0.83 ,57.64 
3,Da-Ae-2,107-2,2016.07.08,26.87 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.18 ,0.28 ,0.00 ,0.73 ,9.36 ,1.47 ,13.49 ,9.95 ,4.37 ,2.56 ,0.87 ,53.73 
4,Da-Ol1-1,134-1,2016.07.06,42.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.04 ,0.22 ,0.00 ,2.13 ,65.35 ,3.24 ,13.97 ,7.90 ,0.88 ,1.52 ,0.54 ,0.21 
5,Da-Ol1-2,134-2,2016.07.08,34.08 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.96 ,0.19 ,0.00 ,2.28 ,61.29 ,3.24 ,14.24 ,8.22 ,1.02 ,2.32 ,0.69 ,2.54 
6,Da-Ol1-3,134-3,2016.07.08,38.09 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.92 ,0.20 ,0.00 ,2.16 ,67.04 ,3.19 ,13.00 ,7.14 ,0.97 ,1.61 ,0.64 ,0.12 
7,Da-AeXDa-Ol-1 F1_1,136-1,2016.07.06,40.70 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.42 ,0.23 ,0.00 ,1.22 ,25.28 ,2.37 ,13.70 ,10.03 ,0.63 ,12.11 ,0.36 ,30.65 
8,Da-AeXDa-Ol-1 F1_2,136-2,2016.07.08,37.84 ,0.00 ,0.00 ,0.00 ,0.04 ,0.00 ,3.45 ,0.23 ,0.00 ,1.22 ,25.98 ,2.48 ,14.23 ,10.71 ,0.61 ,12.24 ,0.34 ,28.50 
9,Da-AeXDa-Ol-1 F1_3,136-3,2016.07.08,36.05 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.48 ,0.24 ,0.00 ,1.26 ,25.59 ,2.47 ,13.55 ,9.81 ,0.65 ,12.80 ,0.36 ,29.78 
10,Da-Ol1XDa-Ae F1_1,137-1,2016.07.06,44.55 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.36 ,0.22 ,0.00 ,1.31 ,26.14 ,2.24 ,13.32 ,9.42 ,0.70 ,12.37 ,0.39 ,30.53 
11,Da-Ol1XDa-Ae F1_2,137-2,2016.07.08,37.92 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.39 ,0.21 ,0.00 ,1.57 ,29.84 ,2.39 ,13.29 ,8.01 ,0.78 ,12.36 ,0.41 ,27.76 
12,Da-Ol1XDa-Ae F1_3,137-3,2016.07.08,29.73 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.63 ,0.51 ,0.00 ,1.74 ,24.11 ,4.02 ,16.43 ,9.02 ,0.92 ,10.29 ,0.62 ,26.72 
,,,,,,,,,,,,,,,,,,,,,