,trait,chr,model,R square,additive effect
1,Arachidic_acid,A08,cim,17.40%,0.71
2,Behenic_acid,A08,cim,49.20%,-0.14
3,Behenic_acid,C03,cim,5.90%,-0.04
4,cis_11_Eicosenoic_acid,A08,cim,29.70%,-0.07
5,Crude_oil_contents,A03,cim,9.20%,-1.69
6,days_to_bolt,A10,cim,14.10%,-7
7,days_to_bolt,C06,cim,11.40%,-7.5
8,days_to_flower,A10,cim,16.50%,-7.4
9,Erucic_acid,A08,cim,51.20%,-13.1
10,Erucic_acid,C03,cim,21.40%,-7.9
11,height_Hmax,A10,cim,12.10%,-9.65
12,leaf_number_2015_12_28,A10,cim,10.40%,-2.05
13,leaf_number_2016_03_21,A10,cim,17.63%,-1.79
14,Linoleic_acid,A08,cim,24.80%,1.7
15,Linoleic_acid,C03,cim,9.90%,1.05
16,lobe_number_I,C06,cim,13.00%,-9.13
17,Oleic_acid,A08,cim,46.10%,9.74
18,Oleic_acid,C03,cim,33.40%,7.3
19,Palmitic_acid,A08,cim,35.40%,0.39
20,Palmitic_acid,C03,cim,13.70%,0.18
21,plant_height_2016_05_13,A10,cim,13.76%,-13.34
22,plant_width_2016_02_17,C02,cim,11.97%,4
23,root_weight_2016_05_13,A10,cim,17.70%,-23.95
24,Stearic_acid,A08,cim,36.80%,0.25
25,Stearic_acid,C03,cim,19.40%,0.18
26,vaccenic_acid,A08,cim,33.40%,0.72
27,Behenic_acid,A01,scanone,3.30%,-0.02
28,days_to_flower,C06,scanone,11.60%,-7.6
29,leaf_number_I,A10,scanone,13.00%,-9.13
30,Linolenic_acid,A08,scanone,66.10%,0.51
31,Linolenic_acid,C03,scanone,65.60%,-0.17
32,lobe_number_2016_01_21,C06,scanone,11%,2.37
33,Myristic_acid,C06,scanone,11.30%,-0.01
34,Palmitoliec_aicd,C09,scanone,13.40%,-0.02
35,vaccenic_acid,C03,scanone,9.10%,0.37