Name,"Individual_
No.",2015.12.18,2016.01.20,2016.02.17,2016.03.16,2015.12.18,2016.01.20,2016.02.17,2016.03.16,2015.12.28,2016.01.21,2016.02.18,2016.03.21,2015.12.28,2016.01.21,2016.02.18,2016.03.21,2016.05.13
Da-Ol1,134-1,29,85,,140,30.5,55.5,,63.5,5,5,6,7,5,6,6,5,174
Da-Ol1,134-2,24,59,,91,16,34,,36.5,6,7,3,8,3,9,4,5,105
Da-Ol1,134-3,24,64,,155,19.5,50.5,,52.5,6,8,6,11,3,7,4,6,173
Da-Ol1,134-4,18,35,55,133,18.5,28,36,61,6,11,,,2,19,,,124
Da-Ol1,134-5,20,48,101,95,22.5,35,43.5,48.5,6,10,,,4,24,,,149
Da-Ol1,134-6,10,47,93,116,22.5,41,45,56,5,9,,,3,21,,,134
Da-Ae,107-1,16,43,63,141,40,56.5,78,66.5,0,6,19,20,14,18,9,10,194
Da-Ae,107-2,10,41,60,137,32,53.5,85,83.5,0,0,16,18,17,27,8,7,203
F1,136-1,18,54,140,180,40.5,62.5,95,91,0,7,4,14,20,12,12,7,198
F1,136-2,19,49,100,170,38.5,50,81,39,0,0,7,9,18,18,15,10,196
F1,136-3,16,52,122,170,44,47.5,79,51,0,0,7,11,19,18,19,13,185
F1,136-4,19,41,,160,35,41,,54.5,0,0,,,16,14,,,167
F1,136-5,20,48,,175,53,70,,50,0,4,,,20,18,,,183
F1,136-6,25,51,,157,51.5,60,,50.5,0,0,,,21,19,,,212
F1,136-7,26,50,,155,54,60.5,,52.5,0,5,,,22,14,,,197
F1,136-8,18,97,,180,44,63.5,,58.5,0,12,,,22,13,,,212
F1,136-9,15,44,,155,27.5,37.5,,53.5,0,0,,,12,17,,,164
F1,136-10,19,47,,169,51,45.5,,69.5,0,7,,,20,18,,,197
F1,136-11,16,45,,160,35.5,59,,49.5,0,0,,,17,22,,,162
F1,136-12,15,39,,165,30.5,49.5,,45.5,0,0,,,12,16,,,150
F1,136-13,19,45,,170,42.5,55,,50.5,0,0,,,17,15,,,157
F1,136-14,20,48,,170,48.5,56.5,,72,0,0,,,19,19,,,192
Da-Ol1xDa-Ae_F1,137-1,33,53,133,175,34.5,66.5,83.5,72.5,0,0,12,11,22,21,9,10,210
Da-Ol1xDa-Ae_F1,137-2,35,59,159,180,53,66,85.5,82.5,0,11,7,12,21,10,5,9,220
Da-Ol1xDa-Ae_F1,137-3,17,44,48,68,40,49,54,68,0,0,17,8,17,20,6,17,206
Da-Ol1xDa-Ae_F1,137-4,20,51,,175,61.5,72.5,,67.5,1,14,,,25,9,,,196
Da-Ol1xDa-Ae_F1,137-5,14,55,,198,56.5,71.5,,86.5,1,11,,,21,12,,,222
Da-Ol1xDa-Ae_F1,137-6,31,55,,180,63,85,,76.5,2,14,,,23,7,,,204
Da-Ol1xDa-Ae_F1,137-7,27,54,,175,54,63,,62.5,2,0,,,20,28,,,199
Da-Ol1xDa-Ae_F1,137-8,28,47,,163,32.5,55,,78,2,9,,,13,6,,,189
F2,138-1,19,41,127,172,46.5,67.5,65.5,76,0,5,21,19,24,3,7,6,221
F2,138-2,21,36,136,168,42.5,57,60,62,0,9,15,16,19,11,9,8,212
F2,138-3,11,38,116,162,23,36.5,73.5,60,0,0,0,8,15,21,24,15,149
F2,138-4,19,92,28,148,63.5,64.5,46,71.5,9,11,15,11,22,8,8,10,182
F2,138-5,7,13,112,80,11,32.5,62.5,42,0,0,0,9,10,14,15,11,100
F2,138-6,15,32,72,180,28.5,41,58.5,62.5,0,0,9,10,13,19,12,8,229
F2,138-7,20,40,55,147,49.5,46.5,52,70.5,0,0,17,15,21,30,11,10,172
F2,138-8,16,35,109,142,33,43.5,57,52,0,0,10,10,20,23,14,20,184
F2,138-9,15,42,101,154,36.5,57.5,59,51,0,2,17,12,17,20,4,8,204
F2,138-10,20,37,102,158,36.5,49,51.5,50,0,1,15,11,14,16,6,8,194
F2,138-11,20,45,109,161,38,45.5,48,40,0,0,9,8,18,26,20,12,190
F2,138-12,20,44,114,151,39,58,55,58,0,4,17,13,20,21,10,8,187
F2,138-13,11,41,134,145,31,53,66,48.5,5,4,8,10,11,6,12,6,159
F2,138-14,18,35,59,166,50,53,56.5,51,1,9,14,8,17,5,7,8,175
F2,138-15,15,46,57,145,25.5,36.5,56.5,50,0,0,5,11,13,16,15,12,198
F2,138-16,16,39,100,160,40.5,49.5,68,49,0,0,12,10,18,19,16,14,187
F2,138-17,20,58,134,154,49,65,58.5,51,0,10,15,14,23,9,7,6,187
F2,138-18,15,32,78,149,46.5,42.5,72.5,57.5,0,0,13,12,17,21,13,19,180
F2,138-19,10,29,132,125,32.5,48,57.5,40.5,0,3,9,7,15,13,12,11,153
F2,138-20,13,41,43,176,28.5,44,56,40,0,0,6,12,17,19,19,10,160
F2,138-21,15,63,135,170,53,57.5,54,72,0,9,11,9,23,10,10,8,170
F2,138-22,13,75,111,140,34.5,35,57.5,55,0,0,8,8,17,21,15,11,184
F2,138-23,13,32,48,155,31,41.5,55,72.5,0,0,6,12,17,20,14,10,158
F2,138-24,13,42,133,144,39,55,65,68.5,0,0,11,11,17,18,11,6,177
F2,138-25,16,34,120,142,40,46.5,59.5,46,0,5,9,9,22,14,8,8,153
F2,138-26,13,34,125,165,25.5,45,62,57.5,1,0,11,12,15,18,16,7,191
F2,138-27,15,41,129,166,43.5,63,66,53,0,6,18,14,23,19,7,10,177
F2,138-28,9,38,74,150,25.5,32.5,49,44,6,4,5,7,9,4,9,8,213
F2,138-29,15,43,108,167,41,61,67,48.5,0,5,15,14,18,15,6,10,190
F2,138-30,12,33,138,147,45,55.5,61.5,53.5,0,9,16,12,20,12,7,5,160
F2,138-31,11,32,89,129,28,44,56,39.5,2,1,7,9,14,19,12,8,124
F2,138-32,14,40,124,145,44.5,56.5,65,47,0,0,9,10,21,19,18,10,182
F2,138-33,13,40,115,153,33.5,48.5,54.5,50.5,0,3,7,9,19,6,12,9,149
F2,138-34,10,51,99,150,25.5,36.5,41.5,40,4,1,8,10,11,19,9,6,172
F2,138-35,12,40,82,158,38,46.5,60.5,45,3,8,9,11,15,7,15,7,165
F2,138-36,14,52,126,167,37.5,61,57,53.5,5,0,8,8,13,29,9,8,185
F2,138-37,18,41,103,160,49,61,77,55,0,13,12,14,22,11,16,9,184
F2,138-38,24,44,129,155,59.5,72.5,81.5,48.5,1,0,17,16,24,19,8,11,167
F2,138-39,29,43,50,167,32.5,41.5,59,54,0,0,4,8,17,21,16,12,147
F2,138-40,16,36,74,140,46.5,54,61,60,0,13,10,11,19,12,15,11,174
F2,138-41,17,39,115,152,35.5,49,60,43,1,1,16,11,21,23,14,4,164
F2,138-42,17,42,123,166,49,55,67.5,57,0,7,14,14,20,6,7,8,203
F2,138-43,11,59,104,120,32,41.5,56,34,3,3,13,7,12,15,10,7,142
F2,138-44,20,34,44,98,34,38.5,45.5,34,2,12,5,9,16,13,6,9,125
F2,138-45,29,47,117,141,53.5,63,68,54,0,0,5,13,24,21,17,10,215
F2,138-46,17,39,71,156,33,56.5,53,57,1,0,13,10,18,22,7,9,194
F2,138-47,15,35,51,105,24.5,41,59,58.5,0,0,6,9,20,23,14,10,162
F2,138-48,19,38,74,150,40,48,57,57,0,1,6,12,20,20,17,13,179
F2,138-49,18,38,77,152,30.5,46,57.5,58,2,0,10,11,18,25,22,14,188
F2,138-50,13,34,86,150,32.5,36.5,53.5,58,1,0,13,13,17,18,18,10,171
F2,138-51,29,66,135,169,67.5,72,68.5,61,3,18,10,11,24,6,14,14,172
F2,138-52,28,120,140,175,83.5,82.5,68,59.5,14,13,12,12,20,7,12,10,161
F2,138-53,30,37,75,130,44,46,54,51,0,20,14,9,17,23,6,13,179
F2,138-54,27,35,110,140,47.5,55.5,65,55.5,0,0,11,12,19,26,12,8,189
F2,138-55,17,60,93,122,33,48,44.5,45.5,5,8,13,7,14,6,12,5,113
F2,138-56,19,48,101,121,42.5,50,56.5,59.5,0,1,7,10,17,18,4,9,172
F2,138-57,22,46,89,141,43,52.5,77,59.5,0,0,13,11,19,23,9,11,200
F2,138-58,17,35,35,107,33,41.5,52,52,0,0,3,13,15,21,20,12,162
F2,138-59,21,51,136,173,46,44.5,55.5,56.5,2,7,12,7,16,12,8,12,181
F2,138-60,15,42,70,146,53.5,59,69,65,0,0,11,13,18,26,12,9,157
F2,138-61,12,34,67,148,41,51.5,55.5,47,0,0,11,10,19,20,14,15,171
F2,138-62,16,28,37,90,18,38.5,36.5,37,0,0,7,5,13,14,9,14,204
F2,138-63,16,37,62,126,30,57,56.5,58.5,3,2,14,12,14,16,4,9,164
F2,138-64,15,38,80,162,38,54,61.5,64,0,0,16,13,19,20,11,8,182
F2,138-65,17,44,131,171,50,66.5,63.5,70,0,11,15,12,25,6,6,4,203
F2,138-66,10,25,32,44,22,35.5,40,37.5,0,0,0,4,14,12,16,12,123
F2,138-67,17,45,125,149,56.5,61.5,73.5,66,0,8,14,8,21,8,5,10,182
F2,138-68,14,50,100,134,39.5,49,59.5,58,0,1,9,9,20,15,6,7,157
F2,138-69,9,46,72,82,24,31,50,43.5,5,3,3,5,5,6,4,5,127
F2,138-70,11,42,117,141,43,54,62.5,47,1,11,11,7,22,6,4,5,193
F2,138-71,17,80,109,143,52.5,57,62,60,13,13,13,10,8,11,6,18,150
F2,138-72,9,45,118,99,21.5,35,54.5,41.5,5,7,7,6,6,7,8,2,100
F2,138-73,15,45,97,152,43,51.5,66,59,0,0,14,11,18,20,11,7,185
F2,138-74,14,38,110,143,46,57.5,71,53.5,0,7,7,7,21,10,6,6,169
F2,138-75,8,25,78,99,21,34.5,54,39.5,5,4,7,6,10,4,9,4,121
F2,138-76,12,53,117,137,40,48.5,66.5,50.5,4,9,10,8,15,9,4,1,131
F2,138-77,15,29,101,134,33.5,43,51.5,39,0,9,8,8,20,5,11,4,108
F2,138-78,16,38,99,150,45,49.5,72.5,55.5,0,2,16,11,21,13,13,6,174
F2,138-79,16,42,132,190,41,63.5,69,78,0,3,13,9,18,22,14,11,216
F2,138-80,15,43,113,150,43.5,48.5,68,74.5,2,0,12,8,16,22,15,8,178
F2,138-81,12,50,102,148,29,38,60,46,0,9,9,9,20,5,6,2,122
F2,138-82,12,29,95,144,28,45,59.5,57,0,0,11,6,17,14,7,4,163
F2,138-83,19,43,110,145,53.5,58,66.5,55.5,0,1,14,13,21,16,11,3,175
F2,138-84,20,84,150,153,59,71,62,55,0,14,12,12,20,7,4,13,195
F2,138-85,13,32,114,160,39,46.5,54.5,47.5,2,8,8,10,19,15,12,10,147
F2,138-86,19,46,66,146,47,50.5,61.5,53.5,0,0,16,18,18,19,10,12,206
F2,138-87,14,33,69,132,42,63.5,65,54,0,0,16,15,25,24,8,5,180
F2,138-88,13,56,110,126,24.5,43.5,61.5,67.5,0,8,7,13,13,10,7,6,155
F2,138-89,15,35,83,130,37.5,50.5,70,59,0,0,11,8,18,19,10,11,177
F2,138-90,13,35,83,116,43,50.5,58.5,50.5,0,0,8,9,22,18,15,8,177
F2,138-91,10,40,74,120,31.5,45,56.5,48,0,0,11,12,18,20,14,9,174
F2,138-92,12,42,55,138,42,55,65.5,53.5,0,0,13,14,20,25,17,15,184
F2,138-93,9,34,41,90,30,36.5,46,46.5,0,0,4,7,18,16,14,10,127
F2,138-94,12,52,127,143,45,51,63,50,0,9,11,9,17,9,5,5,170
F2,138-95,12,84,141,150,59.5,55,63,52,6,9,12,11,15,14,4,4,164
F2,138-96,24,83,136,106,61.5,68,76.5,51,4,10,12,11,11,15,6,4,206
F2,138-97,12,43,133,147,56,57,69.5,65,0,11,12,13,25,15,10,5,162
F2,138-98,20,50,118,146,51,60,70.5,68,0,8,12,19,22,13,5,7,158
F2,138-99,15,62,114,127,38,56.5,64.5,57.5,0,10,8,7,20,10,8,7,130
F2,138-100,14,42,110,150,48.5,60,66,61.5,0,9,9,9,20,12,10,9,154
F2,138-101,18,57,146,147,46,65.5,74.5,56,0,10,11,7,22,14,8,8,158
F2,138-102,11,69,81,143,34,44.5,60,57,3,0,5,7,14,7,6,4,143
F2,138-103,13,81,113,130,54,60,60,49.5,0,0,11,9,23,10,13,12,152
F2,138-104,14,40,110,143,51,65,60.5,59,0,13,8,9,18,13,14,11,192
F2,138-105,24,46,102,152,49,46.5,64.5,63,0,9,13,9,22,21,8,10,196
F2,138-106,14,38,93,138,46,55,62,55.5,0,0,12,7,26,31,11,8,162
F2,138-107,15,34,54,140,54,56.5,72,79,0,0,7,14,22,25,18,14,214
F2,138-108,10,38,101,133,53.5,61.5,72,68.5,0,0,12,13,18,26,9,5,171
F2,138-109,17,45,92,125,45.5,51,63,56,0,0,10,11,26,11,6,5,181
F2,138-110,25,39,95,119,45,52,73.5,66.5,0,7,7,9,19,24,8,6,173
F2,138-111,19,40,107,137,48,51,66.5,77,0,0,10,10,23,28,11,13,173
F2,138-112,15,52,130,136,48.5,62.5,68,72.5,0,0,10,12,26,15,16,9,181
F2,138-113,13,58,120,175,46,45,69.5,71.5,0,8,7,9,18,10,13,5,211
F2,138-114,18,49,125,132,58,49,70.5,67.5,1,8,10,14,23,11,7,3,202
F2,138-115,19,34,64,97,20.5,33.5,41.5,59,0,15,0,7,13,10,14,11,120
F2,138-116,24,39,104,140,52,48,62.5,62.5,0,0,12,9,22,23,9,7,159
F2,138-117,22,41,43,85,35.5,37.5,45.5,62,0,0,9,9,19,20,12,10,160
F2,138-118,15,40,89,124,40,46.5,59.5,59,0,0,13,14,20,21,17,7,172
F2,138-119,16,38,39,92,30.5,48.5,52,59,0,0,0,9,13,14,19,12,130
F2,138-120,26,56,110,190,45.5,48.5,50.5,51,0,0,13,13,21,7,4,8,140
F2,138-121,16,28,57,114,39,52,56,58.5,0,15,13,12,19,19,14,5,124
F2,138-122,14,38,63,140,36,50,50.5,52,0,0,7,9,12,20,14,12,188
F2,138-123,22,43,110,135,57.5,47,59.5,67.5,0,0,9,7,17,19,8,7,170
F2,138-124,10,38,84,119,47.5,47,59,62,0,0,10,11,22,21,11,9,150
F2,138-125,13,28,71,90,25,40,54,44,0,0,9,10,13,18,15,9,120
F2,138-126,18,42,86,112,53,58.5,63.5,60.5,0,0,5,14,18,19,12,4,140
F2,138-127,20,35,105,143,53.5,51,61,69,0,10,12,11,17,13,5,9,194
F2,138-128,8,22,43,121,21.5,42.5,57,49.5,2,0,10,11,12,16,12,9,160
F2,138-129,8,22,25,83,13.5,35,42.5,42.5,2,0,2,8,7,12,12,11,120
F2,138-130,36,58,127,142,70.5,66.5,80.5,70.5,3,10,11,12,18,28,1,8,164
F2,138-131,22,45,48,82,28.5,52.5,38,55.5,0,0,0,14,15,14,14,9,122
F2,138-132,22,52,88,134,44,60.5,70.5,58,0,0,6,13,16,16,7,7,154
F2,138-133,29,35,91,137,49,38,67.5,59.5,0,0,9,14,17,19,6,9,215
F2,138-134,21,36,110,121,25.5,40,59.5,45,2,6,3,9,7,13,4,2,130
F2,138-135,21,52,62,137,44,45.5,60,72.5,0,0,7,13,18,20,9,8,192
F2,138-136,24,44,133,169,40.5,38,71,57,0,3,8,12,22,23,6,7,200
F2,138-137,52,95,91,131,42.5,53,61,52,0,0,3,12,13,18,10,10,173
F2,138-138,29,45,135,145,69,51.5,66,68.5,3,13,14,17,18,17,5,5,175
F2,138-139,19,40,94,115,58,52,47,62,0,4,6,10,19,14,6,8,155
F2,138-140,22,60,128,145,57.5,57,64.5,54.5,0,13,18,19,24,16,7,6,187
F2,138-141,26,50,110,138,49.5,56.5,80,71.5,0,0,10,13,23,21,5,8,180
F2,138-142,24,58,104,135,46.5,61,64.5,66,0,0,6,12,19,20,5,12,141
F2,138-143,25,113,153,140,50.5,59.5,80,68.5,0,7,10,11,21,13,8,5,179
F2,138-144,20,38,153,150,74.5,49.5,69.5,61.5,9,11,10,9,9,22,2,2,76
F2,138-145,19,39,83,136,38,48.5,60,67.5,0,0,3,7,17,20,9,6,140
F2,138-146,19,65,129,147,37.5,53.5,58.5,72.5,0,9,7,9,20,12,8,5,167
F2,138-147,15,44,128,127,40.5,54.5,81.5,75.5,4,10,9,15,11,14,6,4,159
F2,138-148,17,23,110,142,50,25,56.5,55.5,6,9,8,13,9,23,2,3,155
F2,138-149,9,46,36,70,16,49.5,46,51.5,0,0,8,5,13,14,9,6,121
F2,138-150,19,47,77,150,47,55.5,67.5,72.5,0,0,1,15,18,23,6,11,139
F2,138-151,16,51,107,149,44,56,66,75,5,9,7,12,6,24,5,3,142
F2,138-152,16,55,131,163,57,57,70,68,0,10,16,17,19,14,4,6,205
F2,138-153,22,40,130,129,48,46.5,75,73.5,0,0,8,13,16,20,6,6,198
F2,138-154,15,48,60,99,33.5,60.5,60,49,0,0,0,10,13,16,11,5,106
F2,138-155,17,48,128,145,53.5,57.5,75,69,0,5,0,12,20,15,6,13,178
F2,138-156,21,48,109,130,38,27,62.5,72,5,0,18,15,13,16,6,7,180
F2,138-157,15,46,79,116,19.5,63.5,38,36.5,5,4,4,12,4,17,1,12,155
F2,138-158,22,44,140,150,60,56.5,66.5,70,1,4,12,13,16,18,3,4,196
F2,138-159,19,52,106,135,44,60.5,75,68.5,0,0,10,10,20,18,10,9,175
F2,138-160,17,42,145,138,47.5,43.5,71.5,69.5,0,12,11,12,19,16,4,8,202
F2,138-161,9,44,40,160,33,51.5,56.5,65.5,0,0,0,7,18,15,13,9,176
F2,138-162,18,57,104,148,40,53.5,84,72.5,2,2,10,15,13,18,8,7,179
F2,138-163,12,49,115,149,43.5,59,65,66,5,5,10,13,5,24,10,3,167
F2,138-164,18,49,116,126,45.5,46,69,68.5,0,0,9,14,18,21,7,5,159
F2,138-165,15,50,73,127,40,62.5,68,67.5,0,0,7,13,19,17,10,6,174
F2,138-166,22,64,152,160,48,61.5,70,67,0,11,12,16,20,13,5,6,168
F2,138-167,24,43,156,143,56.5,53,80,73.5,0,7,9,13,22,15,5,7,173
F2,138-168,18,31,135,139,48.5,41,68.5,68,0,10,12,20,18,14,4,6,155
F2,138-169,8,49,107,115,28.5,63.5,54,61,1,0,10,10,14,14,4,4,150
F2,138-170,24,46,106,137,46,59.5,80,71.5,0,4,8,12,16,14,9,6,166
F2,138-171,18,39,129,144,44.5,39,69,72.5,1,3,14,19,21,14,1,9,164
F2,138-172,20,41,110,145,36.5,51.5,48.5,57,2,9,8,12,18,11,3,4,153
F2,138-173,19,51,126,125,49,49,62.5,73.5,2,2,12,14,15,20,1,2,149
F2,138-174,16,36,119,138,52.5,60.5,63.5,72.5,0,9,8,12,20,12,5,4,157
F2,138-175,9,46,120,125,50.5,68.5,64,70,0,6,9,14,21,9,6,5,157
F2,138-176,9,44,133,130,44.5,68.5,62,49.5,0,6,11,14,17,13,1,2,149
F2,138-177,17,28,60,128,35.5,38.5,77.5,72,0,9,9,16,17,16,6,6,154
F2,138-178,14,42,68,91,24.5,47,57,65,0,0,13,12,18,18,2,4,87
F2,138-179,10,37,51,94,39.5,51.5,69,75,0,0,10,12,18,16,5,7,135
F2,138-180,11,28,50,123,31,29,72.5,70.5,0,0,8,8,14,17,8,8,125
F2,138-181,13,60,35,89,14.5,53.5,55,53.5,0,0,6,9,13,14,4,5,125
F2,138-182,22,48,101,105,43.5,52,57.5,42,2,11,10,10,23,14,5,13,128
F2,138-183,17,49,111,149,47,57.5,62,57,0,6,10,8,19,13,7,10,174
F2,138-184,17,51,107,150,46,50,90,54.5,0,0,15,10,19,21,5,8,157
F2,138-185,13,45,115,153,43.5,41,61.5,46.5,0,6,10,11,16,10,5,10,167
F2,138-186,14,42,109,126,38,53,67.5,44.5,2,0,9,10,15,16,2,10,144
F2,138-187,15,58,95,129,29.5,56,58,50,1,3,9,8,16,18,4,6,158
F2,138-188,20,93,137,156,47,60.5,63.5,46,0,12,11,12,21,6,4,11,157
F2,138-189,19,46,127,158,52,57,60,46.5,6,10,12,8,11,5,1,10,171
F2,138-190,19,95,113,122,41,67.5,62.5,45.5,2,12,11,12,15,6,3,6,147
F2,138-191,32,27,146,194,65.5,14.5,80,71.5,0,17,16,17,25,7,3,11,213
F2,138-192,20,19,37,40,9,57,23.5,31,6,7,6,6,3,3,2,4,73
F2,138-193,26,100,110,154,65,59,52.5,52.5,12,15,12,13,8,3,3,10,197
F2,138-194,17,48,84,56,30.5,57.5,51.5,43.5,4,6,6,6,5,6,2,6,108
F2,138-195,26,41,73,156,32.5,55,65,54.5,1,1,9,17,14,17,5,12,157
F2,138-196,20,37,104,145,28.5,55.5,55.5,66,0,0,8,9,14,19,3,8,130
F2,138-197,13,42,104,118,43,60,60,58.5,0,0,9,9,18,23,3,9,153
F2,138-198,11,49,54,126,31,65,70.5,47.5,0,0,7,11,15,19,5,10,135
F2,138-199,16,47,135,150,38.5,61,65.5,53.5,0,9,16,13,19,11,2,13,175
F2,138-200,14,41,104,141,43,51,75.5,57,0,0,8,15,23,27,7,7,159
F2,138-201,14,64,105,139,32.5,55,71,51,0,1,7,10,14,18,6,11,175
F2,138-202,18,45,105,102,38.5,59.5,57.5,44.5,9,7,5,8,3,4,2,7,128
F2,138-203,18,60,110,141,27,61.5,86.5,42.5,0,0,9,13,13,18,5,10,172
F2,138-204,18,50,104,148,32,52,80,51,0,0,6,15,15,19,8,8,192
F2,138-205,19,51,49,142,34,62,85,60.5,0,0,6,14,15,17,7,9,173
F2,138-206,23,40,101,155,46.5,56,68,61,0,0,11,17,17,24,5,5,179
F2,138-207,13,45,50,107,40.5,60,75,44,0,0,10,13,17,16,8,8,130
F2,138-208,11,40,62,123,52,50.5,79.5,48,0,0,8,15,19,27,7,6,177
F2,138-209,14,44,83,106,29.5,58,60,39.5,2,8,8,8,9,3,3,6,114
F2,138-210,18,37,138,135,38.5,39.5,74.5,53,3,11,11,12,16,8,4,9,183
F2,138-211,15,50,79,148,30.5,52.5,78,51,0,0,7,12,14,20,4,9,148
F2,138-212,14,52,130,172,24,59,60,46.5,0,14,9,10,15,3,2,10,158
F2,138-213,13,44,130,165,43,53,84.5,59,0,3,11,13,19,21,7,8,194
F2,138-214,15,39,107,141,26.5,55,67.5,47,0,0,9,11,13,17,4,10,170
F2,138-215,12,40,88,139,33,52.5,52.5,45,6,6,9,12,4,3,8,8,227
F2,138-216,14,38,57,138,37.5,60.5,55,54,0,0,13,16,16,21,8,12,165
F2,138-217,13,30,67,96,31,47,66.5,42.5,0,1,10,10,18,24,8,8,120
F2,138-218,10,43,46,52,20,57,25,33.5,2,2,2,9,5,13,7,9,170
F2,138-219,20,47,70,141,35.5,56.5,62.5,54.5,0,0,6,11,14,19,5,6,167
F2,138-220,15,31,110,150,48,52.5,69,56,1,3,11,13,17,27,7,12,193
F2,138-221,13,34,59,145,33,43.5,68,60,0,0,9,16,18,22,7,7,157
F2,138-222,11,34,40,132,28,54,54.5,46,1,1,6,12,15,19,11,9,156
F2,138-223,15,52,43,150,21.5,44.5,70.5,59.5,0,0,8,14,15,21,6,8,145
F2,138-224,17,29,36,105,27.5,44,58,44,0,0,9,13,12,18,7,10,125
F2,138-225,12,43,40,110,20,61.5,58.5,54,0,0,6,9,13,16,8,9,129
F2,138-226,15,44,77,134,47,49.5,74,64.5,0,0,14,17,18,19,5,8,141
F2,138-227,13,45,76,125,26.5,61,69.5,54,0,0,10,11,16,19,5,6,129
F2,138-228,14,41,110,128,40,55,56.5,56,0,10,10,10,18,7,6,10,135
F2,138-229,14,32,55,133,35.5,54.5,72,57,0,0,9,13,19,24,7,9,142
F2,138-230,8,40,50,141,26,60,69,47.5,2,1,8,9,7,15,5,8,135
F2,138-231,14,39,130,133,35,59.5,72.5,47.5,0,12,8,10,17,9,5,7,140
F2,138-232,10,40,96,146,37,61,44.5,47.5,0,8,7,10,18,16,7,5,113
F2,138-233,23,45,87,128,45,59.5,74.5,63.5,1,5,13,17,20,20,1,10,158
F2,138-234,11,28,41,137,24,60.5,70,69,0,1,8,10,20,21,8,8,119
Da-Ol1_x_Da-Ae_F2,139-1,6,31,53,147,13,45.5,72.5,53.5,0,0,3,11,18,16,15,7,132
Da-Ol1_x_Da-Ae_F2,139-2,12,63,93,127,21.5,42.5,42,34.5,4,5,5,10,10,2,24,3,179
Da-Ol1_x_Da-Ae_F2,139-3,14,43,63,131,45.5,60.5,77.5,56,0,5,12,17,23,28,13,8,210
Da-Ol1_x_Da-Ae_F2,139-4,14,41,92,168,34.5,54,66,66,0,0,5,10,17,21,14,10,214
Da-Ol1_x_Da-Ae_F2,139-5,18,42,120,162,43,62,88,67,0,0,11,16,16,22,16,5,184
Da-Ol1_x_Da-Ae_F2,139-6,18,44,100,143,36.5,45,59.5,51,0,0,6,11,15,18,15,5,144
Da-Ol1_x_Da-Ae_F2,139-7,19,43,60,138,39,48.5,65,67.5,0,0,7,12,18,21,18,7,179
